cargo,empresa,salario_base,localizacao,modalidade_trabalho,nivel,experiencia,tipo_contrato,remuneracao_total_anual,remuneracao_inclui,salario_base_detalhado,bonus_anual,relacao_empresa,area_especializacao,beneficios,remuneracao_total_mensal
Cientista de Dados,Banco inter,12.000,"Belo Horizonte, Minas Gerais",Presencial,Sênior,4 anos de experiência,CLT,183.960,"Inclui bônus, PLR, stock options e comissões",159.960,24.000,Funcionário em abril de 2025,Outra,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,15.330
Cientista de Dados,Empresa de Pesquisa Energética,13.819,Rio de Janeiro,Híbrido,Júnior,1 ano de experiência,CLT,184.207,"Inclui bônus, PLR, stock options e comissões",184.207,Não informado,Funcionário em abril de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Home Office | Horário Flexível | Café Grátis | Horas extras | Gympass ou subsídio para academia,15.351
Cientista de Dados,Stefanini,7.500,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,99.975,"Inclui bônus, PLR, stock options e comissões",99.975,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Gympass ou subsídio para academia,8.331
Cientista de Dados,Banco Safra,3.300,"São Paulo, São Paulo",Presencial,Estagiário,1.3 anos de experiência,Estágio,39.600,"Inclui bônus, PLR, stock options e comissões",39.600,Não informado,Funcionário em abril de 2025,Não informado,Vale Refeição | Vale Transporte | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Gympass ou subsídio para academia,3.300
Cientista de Dados,Iniciativa FIS,6.000,"Rio de Janeiro, Rio de Janeiro",Presencial,Júnior,1 ano de experiência,PJ,72.000,"Inclui bônus, PLR, stock options e comissões",72.000,Não informado,Funcionário em abril de 2025,Não informado,Não informado,6.000
Cientista de Dados,Goener,3.000,"Fortaleza, Ceará",Remoto,Estagiário,0.5 anos de experiência,Estágio,36.000,"Inclui bônus, PLR, stock options e comissões",36.000,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Não informado,3.000
Cientista de Dados,Ibpad,3.160,Distrito Federal,Remoto,Júnior,0.1 anos de experiência,PJ,37.920,"Inclui bônus, PLR, stock options e comissões",37.920,Não informado,Oferta de emprego recebida em junho de 2024,Banco de Dados,Auxílio Educação | Home Office | Horário Flexível | Gympass ou subsídio para academia | Apoio psicológico,3.160
Cientista de Dados,Banco do brasil,8.000,"Brasília, Distrito Federal",Híbrido,Júnior,3 anos de experiência,CLT,142.640,"Inclui bônus, PLR, stock options e comissões",106.640,36.000,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Celular Corporativo | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,11.887
Analista Cientista de Dados,Serasa Experian,9.300,"Brasília, Distrito Federal",Remoto,Sênior,5 anos de experiência,CLT,123.969,"Inclui bônus, PLR, stock options e comissões",123.969,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Previdência privada | Gympass ou subsídio para academia | Stock Options,10.331
Cientista de Dados,Mercado Livre,15.000,"Osasco, Sergipe",Remoto,Pleno,5 anos de experiência,CLT,211.950,"Inclui bônus, PLR, stock options e comissões",199.950,12.000,Saiu da empresa em 2024 (ex-funcionário),Não informado,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,17.663
Cientista de Dados,C6 Bank,5.000,"Cotia, São Paulo",Remoto,Júnior,1 ano de experiência,CLT,66.650,"Inclui bônus, PLR, stock options e comissões",66.650,Não informado,Oferta de emprego recebida em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,5.554
Cientista de Dados,Banco Itaú,7.500,São Paulo,Híbrido,Júnior,4 anos de experiência,CLT,143.975,"Inclui bônus, PLR, stock options e comissões",99.975,44.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico,11.998
Cientista de Dados,ClearSale,13.800,"Barueri, São Paulo",Remoto,Sênior,5 anos de experiência,CLT,203.954,"Inclui bônus, PLR, stock options e comissões",183.954,20.000,Oferta de emprego recebida em abril de 2023,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Celular Corporativo | Café Grátis | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Licença maternidade estendida | Licença paternidade estendida,16.996
Cientista de Dados,Banco Bradesco,10.300,"Osasco, São Paulo",Híbrido,Pleno,4 anos de experiência,CLT,153.299,"Inclui bônus, PLR, stock options e comissões",137.299,16.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Gympass ou subsídio para academia,12.775
Cientista de Dados,Bayer Crop Science,18.000,"São Paulo, São Paulo",Remoto,Líder / Coordenador,17 anos de experiência,CLT,246.940,"Inclui bônus, PLR, stock options e comissões",239.940,7.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Celular Corporativo | Café Grátis | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Licença maternidade estendida | Licença paternidade estendida,20.578
Cientista de Dados,Bradesco Seguros,9.600,São Paulo,Híbrido,Sênior,4 anos de experiência,CLT,142.968,"Inclui bônus, PLR, stock options e comissões",127.968,15.000,Funcionário em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário,11.914
Cientista de Dados,Tropicana,70.000,"Florianópolis, Santa Catarina",Remoto,Sênior,11 anos de experiência,PJ,840.000,"Inclui bônus, PLR, stock options e comissões",840.000,Não informado,Funcionário em março de 2025,Banco de Dados,Não informado,70.000
Cientista de Dados,Embraer,10.327,São Paulo,Remoto,Pleno,4 anos de experiência,CLT,160.923,"Inclui bônus, PLR, stock options e comissões",137.659,13.000,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Licença maternidade estendida | Licença paternidade estendida,13.410
Cientista de Dados,Banco Itaú,8.400,"São Paulo, São Paulo",Híbrido,Júnior,3 anos de experiência,CLT,161.972,"Inclui bônus, PLR, stock options e comissões",111.972,50.000,Saiu da empresa em 2024 (ex-funcionário),Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Seguro de vida | Gympass ou subsídio para academia,13.498
Cientista de Dados,Equatorial Energia,5.000,"Belém, Pará",Presencial,Pleno,3 anos de experiência,CLT,81.650,"Inclui bônus, PLR, stock options e comissões",66.650,15.000,Funcionário em março de 2025,Serviços comerciais,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Café Grátis | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida,6.804
Cientista de Dados,Kunumi,12.000,"Belo Horizonte, Minas Gerais",Remoto,Pleno,5 anos de experiência,CLT,159.960,"Inclui bônus, PLR, stock options e comissões",159.960,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,13.330
Cientista de Dados,Localiza,18.000,"Belo Horizonte, Minas Gerais",Remoto,Especialista,6 anos de experiência,CLT,319.940,"Inclui bônus, PLR, stock options e comissões",239.940,80.000,Saiu da empresa em 2024 (ex-funcionário),Outra,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia,26.662
Cientista de Dados,Clearsale,10.373,São Paulo,Remoto,Pleno,3 anos de experiência,CLT,148.272,"Inclui bônus, PLR, stock options e comissões",138.272,10.000,Funcionário em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Plano de Saúde | Home Office | Licença maternidade estendida,12.356
Cientista de Dados,Saint Gobain,11.000,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,161.630,"Inclui bônus, PLR, stock options e comissões",146.630,15.000,Saiu da empresa em 2023 (ex-funcionário),Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Celular Corporativo | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia,13.469
Cientista de Dados,Banco Itaú,18.000,São Paulo,Híbrido,Sênior,7 anos de experiência,CLT,349.940,"Inclui bônus, PLR, stock options e comissões",239.940,110.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,29.162
Cientista de Dados,Nórdica Consultoria e Serviços,6.000,"Rio de Janeiro, Rio de Janeiro",Híbrido,Júnior,0 anos de experiência,CLT,79.980,"Inclui bônus, PLR, stock options e comissões",79.980,Não informado,Funcionário em março de 2025,Analytics,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Café Grátis | Horas extras | Seguro de vida | Apoio psicológico,6.665
Cientista de Dados,PicPay,14.000,São Paulo,Remoto,Sênior,6 anos de experiência,CLT,186.620,"Inclui bônus, PLR, stock options e comissões",186.620,Não informado,Funcionário em março de 2025,Risco,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Horas extras | Seguro de vida,15.552
Cientista de Dados,Banco Itaú,16.000,"São Paulo, São Paulo",Híbrido,Sênior,10 anos de experiência,CLT,313.280,"Inclui bônus, PLR, stock options e comissões",213.280,100.000,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,26.107
Cientista de Dados,Ambev Tech,14.200,"São Paulo, São Paulo",Remoto,Sênior,5 anos de experiência,CLT,217.286,"Inclui bônus, PLR, stock options e comissões",189.286,28.000,Funcionário em março de 2025,Marketing Digital,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Day off no aniversário | Apoio psicológico | Licença paternidade estendida,18.107
Cientista de Dados,Grupo Recovery,6.500,"São Paulo, São Paulo",Híbrido,Júnior,3 anos de experiência,CLT,96.645,"Inclui bônus, PLR, stock options e comissões",86.645,10.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,8.054
Cientista de Dados,Ahoy by Belago Technologies,10.000,"São Paulo, São Paulo",Remoto,Sênior,6.9 anos de experiência,CLT,142.364,"Inclui bônus, PLR, stock options e comissões",133.300,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Day off no aniversário,11.864
Cientista de Dados,Globo,9.850,"Rio de Janeiro, Rio de Janeiro",Híbrido,Sênior,6 anos de experiência,CLT,145.801,"Inclui bônus, PLR, stock options e comissões",131.301,14.500,Funcionário em março de 2025,Esporte,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,12.150
Cientista de Dados,Bravium,3.700,São Paulo,Remoto,Júnior,5 anos de experiência,CLT,49.321,"Inclui bônus, PLR, stock options e comissões",49.321,Não informado,Saiu da empresa em 2024 (ex-funcionário),Não informado,Vale Refeição | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia,4.110
Cientista de Dados,Cortex,7.000,Rio de Janeiro,Remoto,Pleno,2 anos de experiência,CLT,93.310,"Inclui bônus, PLR, stock options e comissões",93.310,Não informado,Saiu da empresa em 2024 (ex-funcionário),Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,7.776
Cientista de Dados,Mrv,5.250,"Belo Horizonte, Minas Gerais",Presencial,Júnior,1 ano de experiência,CLT,75.233,"Inclui bônus, PLR, stock options e comissões",69.983,5.250,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Transporte | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,6.269
Cientista de Dados,Banco Itaú,15.200,"São Paulo, São Paulo",Híbrido,Sênior,8 anos de experiência,CLT,281.616,"Inclui bônus, PLR, stock options e comissões",202.616,79.000,Oferta de emprego recebida em maio de 2024,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,23.468
Cientista de Dados,Mercado Livre,13.000,"Osasco, São Paulo",Híbrido,Pleno,4.5 anos de experiência,CLT,186.290,"Inclui bônus, PLR, stock options e comissões",173.290,13.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida,15.524
Cientista de Dados,Banco Inter,6.600,"Belo Horizonte, Minas Gerais",Presencial,Júnior,2 anos de experiência,CLT,128.805,"Inclui bônus, PLR, stock options e comissões",87.978,15.500,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,10.734
Cientista de dados Lider,Spc brasil,21.800,"São Paulo, São Paulo",Remoto,Líder / Coordenador,5 anos de experiência,CLT,312.394,"Inclui bônus, PLR, stock options e comissões",290.594,21.800,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Day off no aniversário,26.033
Cientista de Dados,Datarisk,12.500,"São Paulo , São Paulo",Remoto,Pleno,2 anos de experiência,PJ,150.000,"Inclui bônus, PLR, stock options e comissões",150.000,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Gympass ou subsídio para academia | Stock Options | Day off no aniversário | Apoio psicológico,12.500
Cientista de Dados,ioasys,20.000,"Belo Horizonte, Minas Gerais",Remoto,Especialista,15 anos de experiência,PJ,240.000,"Inclui bônus, PLR, stock options e comissões",240.000,Não informado,Saiu da empresa em 2025 (ex-funcionário),Inteligência Artificial / Machine Learning,Home Office | Horário Flexível | Gympass ou subsídio para academia,20.000
Cientista de Dados,Sebrae Minas,8.000,"Belo Horizonte, Minas Gerais",Híbrido,Pleno,4 anos de experiência,CLT,122.640,"Inclui bônus, PLR, stock options e comissões",106.640,16.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,10.220
Cientista de Dados,Radix Engenharia,11.000,"Unai, Minas Gerais",Remoto,Sênior,5 anos de experiência,CLT,146.630,"Inclui bônus, PLR, stock options e comissões",146.630,Não informado,Oferta de emprego recebida em dezembro de 2024,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,12.219
Cientista de Dados,Neogrid,7.000,"Belo Horizonte, Minas Gerais",Remoto,Pleno,3.5 anos de experiência,CLT,93.310,"Inclui bônus, PLR, stock options e comissões",93.310,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Alimentação | Plano de Saúde | Home Office | Horário Flexível | Gympass ou subsídio para academia | Day off no aniversário,7.776
Cientista de Dados,Banco Santander,8.600,"São pa, São Paulo",Presencial,Pleno,1.9 anos de experiência,CLT,177.285,"Inclui bônus, PLR, stock options e comissões",114.638,36.000,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Licença maternidade estendida | Licença paternidade estendida,14.774
Cientista de Dados,Icatu Seguros,7.000,"Rio de Janeiro, Rio de Janeiro",Presencial,Pleno,3 anos de experiência,CLT,119.310,"Inclui bônus, PLR, stock options e comissões",93.310,26.000,Saiu da empresa em 2024 (ex-funcionário),Banco de Dados,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,9.943
Cientista de Dados,Senac,16.264,"Rio de Janeiro, Rio de Janeiro",Presencial,Sênior,4.9 anos de experiência,CLT,216.799,"Inclui bônus, PLR, stock options e comissões",216.799,Não informado,Funcionário em março de 2025,Não informado,Vale Refeição | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Seguro de vida | Gympass ou subsídio para academia,18.067
Cientista de Dados,CRMBONUS,17.400,São Paulo,Híbrido,Sênior,7 anos de experiência,CLT,293.402,"Inclui bônus, PLR, stock options e comissões",231.942,34.800,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Transporte | Auxílio Creche | Auxílio Internet | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Horas extras | Gympass ou subsídio para academia | Day off no aniversário,24.450
Cientista de Dados,NTT Data,15.802,"Rio de Janeiro, Rio de Janeiro",Remoto,Especialista,3.5 anos de experiência,CLT,210.644,"Inclui bônus, PLR, stock options e comissões",210.644,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,17.554
Cientista de Dados,Suzano,9.650,"São Paulo, São Paulo",Remoto,Sênior,2 anos de experiência,CLT,152.758,"Inclui bônus, PLR, stock options e comissões",128.635,24.123,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Café Grátis | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico,12.730
Cientista de Dados,Grupo Casas Bahia,7.500,"São Paulo, São Paulo",Remoto,Pleno,2 anos de experiência,CLT,107.475,"Inclui bônus, PLR, stock options e comissões",99.975,7.500,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença paternidade estendida,8.956
Cientista de Dados,frete.com,6.900,"Petrópolis, Rio de Janeiro",Remoto,Pleno,5 anos de experiência,CLT,91.977,"Inclui bônus, PLR, stock options e comissões",91.977,Não informado,Funcionário em março de 2025,Não informado,Vale Refeição | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Day off no aniversário,7.665
